run,monopho_score,dipho_score,hadron_score
1,0.0,1.0,0.0
2,0.0,1.0,0.0
3,0.0,0.0,1.0
3,0.5445955991744995,8.843508472180725e-15,0.4554044008255005
4,0.0,1.0,0.0
4,1.9600652478857228e-07,3.524670770418573e-18,0.9999997019767761
4,0.0016649833414703608,1.0579807852955899e-15,0.9983350038528442
5,0.0,1.0,0.0
5,0.0005787685513496399,6.257467417489226e-13,0.999421238899231
6,0.0,1.0,0.0
6,1.8500608348404057e-05,4.537335799270593e-16,0.9999814629554749
7,0.0,1.0,0.0
8,0.0,1.0,0.0
8,1.9321909348946065e-05,1.588996122181552e-11,0.9999807476997375
8,6.140966888779076e-06,2.0733540752326807e-12,0.9999938607215881
9,0.9650923609733582,0.007996238768100739,0.026911353692412376
9,4.8074888070459565e-08,4.306637685358439e-11,1.0
9,2.1353185729822144e-05,1.7967774837424066e-11,0.9999786615371704
10,0.0,1.0,0.0
11,1.0,2.5918647330138737e-37,8.416053286354465e-25
12,4.821436104001849e-20,1.0,2.6941390488712886e-20
13,0.0,1.0,0.0
13,0.03981952369213104,1.2887487951807053e-11,0.9601804614067078
14,3.5032461608120427e-44,1.0,1.5582438923291966e-42
15,0.0,1.0,5.4611134917601065e-34
16,0.0,1.0,0.0
16,0.0003226444823667407,3.6235841843434394e-16,0.9996774196624756
17,0.9626964330673218,0.03590775281190872,0.00139569491147995
17,0.015059749595820904,2.4984359697555192e-05,0.9849151968955994
17,0.01811394654214382,2.398028442485156e-08,0.9818860292434692
17,1.262901150766993e-06,4.383067700290417e-15,0.9999986886978149
18,2.9965257654297142e-31,1.0,2.0698674644038987e-32
19,0.0,1.0,1.7085677558340306e-31
19,0.1647571474313736,5.704241874855687e-13,0.8352428674697876
19,2.952182330773212e-05,7.087226638891053e-11,0.9999704360961914
19,2.540093191782944e-05,4.392893687699129e-11,0.9999746680259705
20,1.0,3.356160016565468e-09,6.475688041351901e-12
21,2.274308795784056e-19,1.0,5.413198852400298e-20
23,6.034928120378129e-33,1.0,7.969270850140944e-28
24,0.0,1.0,0.0
24,3.0147413781378418e-05,7.273848884326028e-11,0.9999698996543884
25,0.0,1.0,0.0
26,2.581536719721067e-27,1.0,6.464111737822027e-35
26,5.016297654947266e-05,1.9888980740123685e-10,0.9999498724937439
27,0.0,5.6775864010205623e-08,1.0
28,0.9878755211830139,6.853664672235027e-06,0.012117628008127213
29,5.9878919996269214e-34,1.0,1.9002153682645606e-39
30,2.0132554503113996e-22,1.0,5.765961061103145e-23
30,4.371272007119842e-05,1.4816194104927405e-10,0.9999561905860901
31,3.6616740504878007e-37,1.0,3.5289319616631166e-40
32,3.4903241115516e-33,1.0,2.704506036146897e-43
33,4.363155770410395e-27,1.0,1.8711160522400307e-27
33,2.6824329324881546e-05,5.850657458505992e-11,0.9999731183052063
34,0.0,1.0,0.0
35,0.0,1.0,0.0
36,0.0,1.0,0.0
37,0.0,1.0,0.0
38,2.7464497892504286e-19,1.0,4.451451463821378e-20
40,0.0,1.0,0.0
41,0.0,1.0,0.0
42,4.512181055125911e-43,3.731187092625987e-08,1.0
42,5.2026560297235847e-05,7.570172266824216e-11,0.9999479651451111
43,0.0,1.0,3.8071633927606656e-21
44,0.0,1.0,0.0
44,0.004939929116517305,1.6146887429555057e-13,0.9950600266456604
44,0.7980927228927612,4.928998986741817e-09,0.2019071727991104
45,0.847409725189209,0.004582291003316641,0.14800789952278137
45,0.0734492838382721,0.13481344282627106,0.7917373180389404
45,9.038554935614229e-07,7.857802186705953e-10,0.9999990463256836
45,2.1924928660155274e-05,1.3868805409655849e-11,0.9999781250953674
46,0.6183358430862427,7.420348424602707e-07,0.38166341185569763
46,0.011184397153556347,2.5995623218477704e-06,0.988813042640686
47,1.3062883287412688e-21,1.0,0.0
47,0.00016118177154567093,4.298579200923136e-11,0.9998388290405273
48,3.1596169365773197e-13,0.9996887445449829,0.0003113097045570612
49,0.7231270670890808,3.165779708069749e-05,0.27684128284454346
49,2.250918214485864e-06,1.5500986244113496e-18,0.9999977350234985
49,2.1353022020775825e-05,1.759136933343619e-11,0.9999786615371704
50,0.9762552380561829,2.5161543817375787e-05,0.023719586431980133
50,9.697157656773925e-05,3.6803707303967315e-10,0.9999030232429504
50,5.3361432037490886e-06,1.338097206371458e-07,0.9999944567680359
50,0.0011022139806300402,3.8100214538872024e-08,0.9988978505134583
51,0.999944269657135,6.098057951930969e-07,5.5188487749546766e-05
51,0.9362287521362305,0.01149109099060297,0.05228017270565033
52,0.0,1.0,0.0
52,2.4164481146726757e-05,3.4087486305844905e-11,0.9999757409095764
53,5.158621783338919e-25,1.0,3.412225212215524e-28
